project_name,task_description,files_touched,previous_failure_count,expected_tier,expected_risk,expected_human_review_required,expected_reason_keywords
"911, Radio, and Real-Time Project Tracking",Change public safety radio status dashboard logic,"[""tracking/radio_status.py""]",0,advanced,critical,True,"[""public safety"", ""sensitive_data""]"
TD Refresh Users Bot Conversion,Change live Forge bot code that writes TeamDynamix users,"[""bots/refresh_users.py""]",0,advanced,high,True,"[""live_prod_project"", ""sensitive_project""]"
ECOs Bot Conversion,Modify live Forge document pipeline email routing,"[""bots/ecos_pipeline.py""]",0,advanced,high,False,"[""live_prod_project"", ""advanced_risk""]"
Gap Bills Forge Conversion,Fix PDF-to-JPG handling for the Laserfiche feed,"[""forge/gap_bills.py""]",0,advanced,high,False,"[""laserfiche"", ""live_prod_project""]"
VALT Reporting Bots Conversion,Change SQL report query before live email routing,"[""valt/reports.sql""]",0,advanced,high,False,"[""sql"", ""live_prod_project""]"
TD Refresh Users Bot Conversion,Rotate [redacted-secret] without storing the [redacted-secret],"[""bots/auth.py""]",0,advanced,high,True,"[""bearer token"", ""exclude secrets""]"
ECOs Bot Conversion,Adjust reporting email summary for live Forge prod,"[""bots/email_report.py""]",0,advanced,high,False,"[""live_prod_project"", ""advanced_risk""]"
Local Budget Book,Update official public budget figures in the static site,"[""data/budget.json"", ""site/budget.html""]",0,advanced,high,False,"[""official public budget"", ""advanced_risk""]"
Local Budget Book,Change budget book CSS for public budget tables,"[""site/budget.css""]",0,advanced,high,False,"[""project_default:advanced""]"
Transparency Portal,Revise public official content copy on transparency page,"[""content/transparency.md""]",0,advanced,high,False,"[""official public budget"", ""advanced_risk""]"
Transparency Portal,Update transparency portal data table labels,"[""portal/table.py""]",0,advanced,high,False,"[""project_default:advanced""]"
Workers Comp V2,Fix workers comp claim form validation,"[""claims/form.py""]",0,advanced,high,True,"[""workers comp"", ""sensitive_project""]"
Workers Compensation,Review medical claim data export wording,"[""claims/export.py""]",0,advanced,high,True,"[""medical"", ""exclude secrets""]"
Shift Premium,Adjust UKG payroll calculation for shift premium,"[""payroll/shift_premium.py""]",0,advanced,high,True,"[""payroll"", ""sensitive_project""]"
NCFast Bot Conversion,Convert public benefits automation step to the new bot,"[""bots/ncfast.py""]",0,advanced,high,True,"[""project_default:advanced"", ""sensitive_project""]"
Veteran's Intake Application,Redact PII before showing veteran intake summary,"[""api/summary.php""]",0,advanced,high,True,"[""pii"", ""exclude secrets""]"
USB Device Approval Application,Review cybersecurity controls for USB approval workflow,"[""security/review.md""]",0,advanced,high,True,"[""cybersecurity"", ""security_controls""]"
"911, Radio, and Real-Time Project Tracking",Fix real-time public safety incident status rollup,"[""tracking/status.py""]",0,advanced,critical,True,"[""public safety"", ""sensitive_data""]"
Diana Test Project,Update README copy after repeated misses,"[""README.md""]",2,mid,medium,False,"[""previous_failures_escalate""]"
Grant Quarter Reporting,Fix report totals after two failed attempts,"[""reports/quarterly.py""]",2,advanced,medium,False,"[""previous_failures_escalate""]"
COI project,Repair PDF extraction after repeated failures,"[""coi/extract.py""]",2,advanced,medium-high,False,"[""previous_failures_escalate""]"
Scott's Test Project,Update docs after repeated failures,"[""docs/notes.md""]",2,mid,medium,False,"[""previous_failures_escalate""]"
Mark's Test Project,Fix static HTML summary after repeated misses,"[""public/index.html""]",2,mid,medium,False,"[""previous_failures_escalate""]"
Veteran's Intake Application,Fix auth bug without exposing credentials or PII,"[""Auth/ping.php""]",0,advanced,high,True,"[""exclude secrets"", ""pii""]"
TD Refresh Users Bot Conversion,Review [redacted-secret] and exclude real secrets from context,"[""bots/auth.py""]",0,advanced,high,True,"[""bearer tokens"", ""exclude secrets""]"
